country,officialLanguages
http://www.wikidata.org/entity/Q214,http://www.wikidata.org/entity/Q9058
http://www.wikidata.org/entity/Q218,http://www.wikidata.org/entity/Q7913
http://www.wikidata.org/entity/Q219,http://www.wikidata.org/entity/Q7918
http://www.wikidata.org/entity/Q224,http://www.wikidata.org/entity/Q6654
http://www.wikidata.org/entity/Q232,http://www.wikidata.org/entity/Q7737; http://www.wikidata.org/entity/Q9252
http://www.wikidata.org/entity/Q236,http://www.wikidata.org/entity/Q8821
http://www.wikidata.org/entity/Q244,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q252,http://www.wikidata.org/entity/Q9240
http://www.wikidata.org/entity/Q258,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q10179; http://www.wikidata.org/entity/Q13218; http://www.wikidata.org/entity/Q14196; http://www.wikidata.org/entity/Q32704; http://www.wikidata.org/entity/Q33890; http://www.wikidata.org/entity/Q34014; http://www.wikidata.org/entity/Q34137; http://www.wikidata.org/entity/Q34327; http://www.wikidata.org/entity/Q34340; http://www.wikidata.org/entity/Q36785
http://www.wikidata.org/entity/Q262,http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q61053330
http://www.wikidata.org/entity/Q265,http://www.wikidata.org/entity/Q9264
http://www.wikidata.org/entity/Q298,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q334,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q5885; http://www.wikidata.org/entity/Q9237; http://www.wikidata.org/entity/Q727694
http://www.wikidata.org/entity/Q398,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q408,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q414,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q419,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q4627; http://www.wikidata.org/entity/Q5218
http://www.wikidata.org/entity/Q423,http://www.wikidata.org/entity/Q18784
http://www.wikidata.org/entity/Q424,http://www.wikidata.org/entity/Q9205
http://www.wikidata.org/entity/Q574,http://www.wikidata.org/entity/Q5146; http://www.wikidata.org/entity/Q34125
http://www.wikidata.org/entity/Q657,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q664,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q36239; http://www.wikidata.org/entity/Q36451
http://www.wikidata.org/entity/Q668,http://www.wikidata.org/entity/Q1568; http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q672,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34055
http://www.wikidata.org/entity/Q683,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34011
http://www.wikidata.org/entity/Q685,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q686,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q35452
http://www.wikidata.org/entity/Q691,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q33617; http://www.wikidata.org/entity/Q34159; http://www.wikidata.org/entity/Q25044405
http://www.wikidata.org/entity/Q695,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q5287; http://www.wikidata.org/entity/Q33776
http://www.wikidata.org/entity/Q858,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q863,http://www.wikidata.org/entity/Q7737; http://www.wikidata.org/entity/Q9260
http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q7850; http://www.wikidata.org/entity/Q33375; http://www.wikidata.org/entity/Q35132; http://www.wikidata.org/entity/Q36778; http://www.wikidata.org/entity/Q49228; http://www.wikidata.org/entity/Q262828; http://www.wikidata.org/entity/Q715278
http://www.wikidata.org/entity/Q869,http://www.wikidata.org/entity/Q9217
http://www.wikidata.org/entity/Q874,http://www.wikidata.org/entity/Q9267
http://www.wikidata.org/entity/Q878,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q881,http://www.wikidata.org/entity/Q9199
http://www.wikidata.org/entity/Q884,http://www.wikidata.org/entity/Q9176
http://www.wikidata.org/entity/Q889,http://www.wikidata.org/entity/Q9264; http://www.wikidata.org/entity/Q9267; http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q58680; http://www.wikidata.org/entity/Q178440
http://www.wikidata.org/entity/Q902,http://www.wikidata.org/entity/Q9610
http://www.wikidata.org/entity/Q912,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q917,http://www.wikidata.org/entity/Q33081
http://www.wikidata.org/entity/Q921,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q9237
http://www.wikidata.org/entity/Q924,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q928,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q33298
http://www.wikidata.org/entity/Q929,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q33954
http://www.wikidata.org/entity/Q945,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q948,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q953,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q954,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13218; http://www.wikidata.org/entity/Q13311; http://www.wikidata.org/entity/Q32704; http://www.wikidata.org/entity/Q33273; http://www.wikidata.org/entity/Q33672; http://www.wikidata.org/entity/Q34004; http://www.wikidata.org/entity/Q34101; http://www.wikidata.org/entity/Q34137; http://www.wikidata.org/entity/Q34327; http://www.wikidata.org/entity/Q34340; http://www.wikidata.org/entity/Q35613; http://www.wikidata.org/entity/Q963636; http://www.wikidata.org/entity/Q8072097; http://www.wikidata.org/entity/Q8826802
http://www.wikidata.org/entity/Q958,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q962,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q963,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q965,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q967,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q33583
http://www.wikidata.org/entity/Q970,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q33077
http://www.wikidata.org/entity/Q971,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q974,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q977,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q986,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q34124
http://www.wikidata.org/entity/Q1005,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1006,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1007,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q1008,http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1009,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1011,http://www.wikidata.org/entity/Q5146; http://www.wikidata.org/entity/Q35963
http://www.wikidata.org/entity/Q1013,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34340
http://www.wikidata.org/entity/Q1014,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1016,http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q56467
http://www.wikidata.org/entity/Q1019,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q7930
http://www.wikidata.org/entity/Q1020,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q33273
http://www.wikidata.org/entity/Q1025,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q1027,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1028,http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q7598268
http://www.wikidata.org/entity/Q1029,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q1030,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1032,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q1033,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34311
http://www.wikidata.org/entity/Q1036,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q1037,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q7838; http://www.wikidata.org/entity/Q33573
http://www.wikidata.org/entity/Q697,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13307
http://www.wikidata.org/entity/Q702,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q709,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q36280
http://www.wikidata.org/entity/Q710,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q30898
http://www.wikidata.org/entity/Q711,http://www.wikidata.org/entity/Q9246
http://www.wikidata.org/entity/Q712,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q11051; http://www.wikidata.org/entity/Q33295; http://www.wikidata.org/entity/Q46728
http://www.wikidata.org/entity/Q717,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q3322064
http://www.wikidata.org/entity/Q733,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q35876
http://www.wikidata.org/entity/Q734,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q736,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q617291; http://www.wikidata.org/entity/Q1740805
http://www.wikidata.org/entity/Q739,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q750,http://www.wikidata.org/entity/Q1321; http://www.wikidata.org/entity/Q4627; http://www.wikidata.org/entity/Q5218; http://www.wikidata.org/entity/Q35876
http://www.wikidata.org/entity/Q754,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q757,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q760,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q763,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q766,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q769,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q4252500
http://www.wikidata.org/entity/Q774,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q778,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q781,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q783,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q784,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q786,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q790,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q33491
http://www.wikidata.org/entity/Q792,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q9168; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q796,http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q36368
http://www.wikidata.org/entity/Q800,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q801,http://www.wikidata.org/entity/Q9288
http://www.wikidata.org/entity/Q805,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q810,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q811,http://www.wikidata.org/entity/Q1321
http://www.wikidata.org/entity/Q813,http://www.wikidata.org/entity/Q7737; http://www.wikidata.org/entity/Q9255
http://www.wikidata.org/entity/Q819,http://www.wikidata.org/entity/Q9211
http://www.wikidata.org/entity/Q822,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q826,http://www.wikidata.org/entity/Q13955; http://www.wikidata.org/entity/Q32656
http://www.wikidata.org/entity/Q833,http://www.wikidata.org/entity/Q9237
http://www.wikidata.org/entity/Q836,http://www.wikidata.org/entity/Q9228
http://www.wikidata.org/entity/Q837,http://www.wikidata.org/entity/Q33823
http://www.wikidata.org/entity/Q842,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q843,http://www.wikidata.org/entity/Q1617; http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q846,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q851,http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q854,http://www.wikidata.org/entity/Q5885; http://www.wikidata.org/entity/Q13267
http://www.wikidata.org/entity/Q1039,http://www.wikidata.org/entity/Q5146
http://www.wikidata.org/entity/Q1041,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q34257; http://www.wikidata.org/entity/Q35006; http://www.wikidata.org/entity/Q35095
http://www.wikidata.org/entity/Q1042,http://www.wikidata.org/entity/Q150; http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34015
http://www.wikidata.org/entity/Q1044,http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q1045,http://www.wikidata.org/entity/Q13275; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q1049,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q13955
http://www.wikidata.org/entity/Q1050,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34014
http://www.wikidata.org/entity/Q12557,http://www.wikidata.org/entity/Q7850; http://www.wikidata.org/entity/Q9168; http://www.wikidata.org/entity/Q33750; http://www.wikidata.org/entity/Q34090
http://www.wikidata.org/entity/Q16641,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q34011
http://www.wikidata.org/entity/Q16644,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q28427; http://www.wikidata.org/entity/Q33262
http://www.wikidata.org/entity/Q21203,http://www.wikidata.org/entity/Q7411; http://www.wikidata.org/entity/Q33856
http://www.wikidata.org/entity/Q26273,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q26988,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q36745
http://www.wikidata.org/entity/Q29999,http://www.wikidata.org/entity/Q7411
http://www.wikidata.org/entity/Q34020,http://www.wikidata.org/entity/Q1860; http://www.wikidata.org/entity/Q33790
http://www.wikidata.org/entity/Q244165,http://www.wikidata.org/entity/Q8785
http://www.wikidata.org/entity/Q756617,http://www.wikidata.org/entity/Q9035; http://www.wikidata.org/entity/Q25258; http://www.wikidata.org/entity/Q25355
http://www.wikidata.org/entity/Q907112,http://www.wikidata.org/entity/Q7737; http://www.wikidata.org/entity/Q8798; http://www.wikidata.org/entity/Q36392
http://www.wikidata.org/entity/Q30025589,
http://www.wikidata.org/entity/Q30031961,
